Fear. Treachery Bloodlust.,.ترس. دغلکاری. خونریزی
Hold still. Smile!,.تکون نخورید !لبخند بزنید
"We know. And we're just a little excited for you, but terrified.",می‌دونیم. ما فقط ،یکم برات هیجان‌زده‌ایم .اما وحشت کردیم
The only thing we have to fear is fear itself.,تنها چیزی که باید ازش بترسیم .همون ترسیدنه
"And also bears. We have bears to fear, too.",.و همین‌طور خرس‌ها .از خرس‌ها هم می‌ترسیم
And foxes are the worst.,.و روباه‌ها از همه بدترن
"Actually, your father does have a point there. It's in their biology.",راستش، پدرت .یه منظوری از این حرف داره .این توی ذاتشونه
When I was nine.,.اون موقع 9 سالم بود
Gideon Grey was a jerk who happened to be a fox.,"گیدیون گری"" یه عوضی بود"" .که اتفاقا روباه هم هست"
we made you a little care package to take with you.,ما برات یه کوله‌پشتی .درست کردیم که ببری
"Okay, look! I will take this, to make you stop talking.",!خب، ببینید .من اینو می‌برم که شما دیگه حرف نزنین
"Okay, gotta go! Bye!",.خیلی خب، باید برم !خداحافظ
I love you guys.,.دوسِتون دارم
Goodbye!,!خداحافظ
Lost to myself But I'll just start again,به خودم باختم♪ ♪اما دوباره شروع خواهم کرد
I keep falling down,♪هی شکست می‌خورم♪
I keep on hitting the ground,♪ هی زمین می‌خورم♪
To see what's next,♪که ببینم چی در انتظارمه♪
Nobody learns without getting it wrong,بدون اشتباه کردن♪ ♪کسی چیزی یاد نمی‌گیره
Till I reach the end And then I'll start again,تا وقتی به آخر برسم♪ ♪و دوباره شروع خواهم کرد
No I won't leave,♪نه بی‌خیال نمی‌شم♪
I want to try everything I want to try even though I could fail,♪می‌خوام همه چی رو امتحان کنم♪ می‌خوام تلاش کنم♪ ♪با اینکه ممکنه شکست بخورم
"Yeah? Well, we're loud.",جدی؟ .ما سر و صدامون زیاده
Don't expect us to apologize for it.,انتظار نداشته باش بابتش .عذرخواهی کنیم
Greasy walls.,.دیوارهای روغنی
"Hey, shut up!",!هی، خفه شو
"Shut your mouth, shut up.",!دهنت رو ببند، خفه شو
Come on!,!بی‌خیال
Excuse me.,.ببخشید
Down here.,.این پایین
Hi.,.سلام
They really did hire a bunny! What!,!اونا واقعا یه خرگوش استخدام کردن !چی؟
"I gotta tell you, you are even cuter than I thought you'd be!",باید بهت بگم، تو حتی از اون چیزی که .فکر می‌کردم با نمک‌تری
Great. Thank you.,.عالیه. مرسی
That poor little bunny's gonna get eaten alive.,اون خرگوش کوچولوی بیچاره رو .زنده زنده می‌خورن
You ready to make the world a better place?,آماده‌ای که دنیا رو به جای بهتری تبدیل کنی؟
Happy birthday.,.تولدت مبارک
Number two.,.دوم
There are some new recruits with us I should introduce,یه سری نیروی جدید اومده  که باید معرفی‌شون کنم
but I'm not going to .,اما قرار نیست این کارو کنم
because I don't care.,.چون اهمیتی نمیدم
"Finally, we have 14 missing mammal cases.",در آخر، ما 14 پرونده از .پستانداران گم‌شده داریم
"All predators, from a giant polar bear to a teensy little otter.",همگی درنده، از یه خرس قطبی بزرگ گرفته .تا یه سمور آبی کوچولو
This is priority number one.,.این در اولویت ماست
Assignments.,.ماموریت‌ها
Your teams take Sahara Square.,".تیم‌ شما توی میدون ""ساهارا"" مشغول میشه"
Dismissed.,.می‌تونید برید
Parking duty?,پارکبان؟
Chief!,رییس؟
"Sir, you said there were 14 missing mammal cases.",قربان، شما گفتین .14پرونده از پستانداران گمشده وجود داره
"- So? - So, I can handle one.",خب؟ - .خب می‌تونم یکیش رو بر عهده بگیرم -
"You probably forgot, but I was top of my class at the Academy.",شاید یادتون رفته اما من شاگرد ممتاز کلاس .توی آموزشگاه بودم
Didn't forget. Just don't care.,.یادم نرفته .فقط اهمیتی نمیدم
"Sir, I'm not just some token bunny.",.قربان، من فقط یه خرگوش کوچولو نیستم
"Well, then writing 100 tickets a day should be easy.",خب پس نوشتن 100 تا جریمه در روز .باید آسون باشه
100 tickets. I'm not gonna write 100 tickets. I'm gonna write 200 tickets.,صد جریمه؟ .قرار نیست صد تا جریمه بنویسم .دویست تا جریمه می‌نویسم
Before noon.,.تا قبل از ظهر
"Hey, watch where you're going, fox!",!هی، حواست باشه کجا میری، روباه
Where'd he go?,کجا رفت؟
"I'm not looking for any trouble either, sir.",.قربان منم دنبال دردسر نیستم
"There are. It's just, my boy, this goofy little stinker he loves all things elephant. Wants to be one when he grows up. Is that adorable?",،هست. فقط پسرم  این کوچولوی دست و پا چلفتی .اون همه چیز رو فیلی دوست داره ،وقتی بزرگ شد .می‌خواد یکی از اونا بشه بامزه نیست؟
Who the heck am I to crush his little dreams? Right?,من کی‌ام که بخوام رویاهای کوچیکش رو خراب کنم، ها؟ خب؟
"You probably can't read, fox, but the sign says ""We reserve the right to refuse service "" to anyone."" So, beat it.","ببین، شاید تو نمی‌تونی بخونی روباه اما این تابلو میگه ما این حق رو داریم که خدمت رسانی "" "".به هر کسی رو نپذیریم .پس گورت رو گم کن"
Hello? Excuse me.,.سلام. ببخشید
"Actually, I'm an officer.",.راستش من مامورم
Just had a quick question.,.فقط یه سوال سریع می‌پرسم
What are you talking about?,چی داری میگی؟
"Oh, no. Are you kidding me? I don't have my wallet.",اوه، نه. شوخی می‌کنی؟ .کیفم نیست
"Oh, boy. I'm sorry, pal. Got to be about the worst birthday ever.",.اوه پسر. متاسفم عزیزم .باید بدترین تولدت باشه
Please don't be mad at me.,.لطفا از دست من عصبانی نباش
Keep the change.,.بقیه پول مال خودت
"Officer, I can't thank you enough.",.مامور، نمی‌تونم به حد کافی تشکر کنم
"You know, it burns me up to see folks with such backward attitudes toward foxes.",می‌دونی این منو دیوونه می‌کنه  وقنی می‌بینم بقیه یه همچین رفتار بدی .با روباه‌ها دارن
Officer,مامور
You want to be an elephant when you grow up? You be an elephant.,وقتی بزرگ شدی می‌خوای فیل بشی؟ .یه فیل میشی
Anyone can be anything.,.هر کسی می‌تونه هر چیزی باشه
"Boy, I tell him that all the time.",.اوه پسر .همیشه اینو بهش می‌گم
That's red wood.,.این چوب قرمزه
Ciao.,.خداحافظ
"Well. I stood up for you, and you lied to me.",خب. من پشتت وایستادم .و تو بهم دروغ گفتی
You liar!,!ای دروغگو
"It's called a hustle, sweetheart.",.بهش می‌گن دغلکاری، عزیزم
And I'm not the liar. He is.,.و من دروغگو نیستم. اونــه
Really? For what?,واقعا؟ برای چی؟
"Gee, I don't know. How about selling food without a permit.",.هی، نمی‌دونم خوراکی فروختن بدون مجوز چطوره؟
False advertising.,.تبلیغات ساختگی
Wood that is red.,.چوبی که قرمــزه
"You can't touch me, Carrots. I've been doing this since I was born.",.دستت بهم نمی‌رسه هویج از وقتی به دنیا اومدم .این کارو انجام میدم
no one cares about her or her dreams.,.کسی به اون و رویاهاش اهمیتی نمیده
"And soon enough, those dreams die",و خیلی زود، اون رویاها می‌میرن
