"He decided that in [the] future, he would start each meeting with an agenda alignment,",او تصمیم گرفت که در آینده، هر جلسه را با برنامه‌ی هماهنگی آغاز کند
to make sure there was clarity on what needed to be achieved.,تا اطمینان حاصل کند که در مورد دستاوردهای جلسه شفافیت وجود دارد.
"And then, he'd resolve to make sure that he would take greater control over the meeting",و سپس، او تصمیم می‌گیرد مطمئن شود که کنترل بیشتری بر جلسه خواهد داشت،
Reflection helps to improve performance.,بازتاب به بهبود عملکرد کمک می‌کند.
Reflection helps to make better decisions.,ازتاب به تصمیم‌گیری بهتر کمک می‌کند.
"Imagine, for a moment,",تصور کنید، برای یک لحظه،
you've been in your current role for five years.,پنج سال است که در نقش فعلی خود هستید.
"It's a creative role,",این یک نقش خلاقانه است،
You've been offered another opportunity in the organization.,فرصت دیگری در سازمان به شما پیشنهاد شده است.
"It’s actually a promotion. It’s a more senior role, managerial.",در واقع یک ترفیع است. یک مقام بالاتر مدیریتی.
But you'll have responsibility for looking after 12 direct reports.,اما شما مسئولیت مراقبت از ۱۲ گزارش مستقیم را خواهید داشت.
A competitor has also recently reached out to you.,اخیراً یک رقیب نیز با شما تماس گرفته است.
They've offered you an opportunity,آن‌ها به شما فرصتی پیشنهاد داده‌اند
"for the same kind of role that you've got currently, but it pays a higher salary.",برای همان نقشی که در حال حاضر دارید، اما با دستمزد بالاتر.
There's a big difference between being a creative and being a manager.,تفاوت زیادی بین خلاق بودن و مدیر بودن وجود دارد.
So what is it that really makes you happy?,پس واقعاً چه چیزی شما را خوشحال می‌کند؟
What is it that really makes you fulfilled?,واقعاً چه چیزی باعث رضایت شما می‌شود؟
Reflection provides a treasure trove of data to help you work through this.,بازتاب گنجینه‌ای از داده‌ها فراهم می‌کند تا به شما در این زمینه کمک کند.
"Have your reflections mentioned being bored with projects, or do you just want to try something new?",آیا افکار بازتابی شما به بی‌حوصلگی از پروژه‌ها اشاره کرده‌اند یا فقط می‌خواهید چیز جدیدی امتحان کنید؟
Would you like to be a manager?,دوست دارید مدیر باشید؟
Would you like to see people grow and form and develop them?,آیا مایل هستید رشد و شکل‌گیری مردم را ببینید و آن‌ها را توسعه دهید؟
Do you think you could do a better job than your own manager?,آیا فکر می‌کنید که می‌توانید بهتر از مدیرتان عمل کنید؟
Reflection provides great insight.,بازتاب بینشی عالی ارائه می‌دهد.
It's easy to get lost when you've got an opportunity of a fancier job title and more money.,سردگم شدن آسان است، وقتی فرصتی برای شغل مهمتر و پول بیشتر دارید.
"But reflection enables you to focus on what really matters, and to make better choices.",اما عمل بازتاب به شما امکان تمرکز بر موضوعات واقعا مهم و تصمیم‌گیری بهتر می‌دهد.
Let me share with you a final example.,اجازه دهید مثال آخر را بزنم.
"Most of us have relationships in our work -- bosses, customers, clients, suppliers, whomever.",بسیاری از ما در محیط کاری روابطی داریم - مدیران، مشتریان، کارفرمایان، تامین‌کنندگان و افراد دیگر.
And I think most of us try to have good relationships with these people.,فکر می‌کنم بیشتر ما سعی می‌کنیم با این افراد روابط خوبی داشته باشیم.
"If I'm honest, while I strive for this ambition, I haven't always succeeded, but reflection has helped me to build better relationships.",اگر صادقانه بگویم، در حالی که برای این جاه‌طلبی تلاش می‌کنم، همیشه موفق نشده‌ام، اما بازتاب به من کمک کرده تا روابط بهتری ایجاد کنم.
"A number of years ago,",چند سال پیش،
"I was giving a feedback session with a colleague,",من در حال ارائه یک جلسه نظرسنجی با یکی از همکاران بودم
"and after having done so, I took a few moments to jot down some thoughts as to how it went.",و پس از انجام این کار، چند لحظه وقت گذاشتم تا برخی از افکار را در مورد چگونگی انجام آن یادداشت کنم.
I realized I had been too clinical.,متوجه شدم که حالت چهره‌ام خیلی بی‌احساس شده.
"In fact, if only you could have seen the expressions on my colleague's face.",واقعا باید صورت همکاران من را  آن زمان می‌دیدید.
I'd raced through their various strengths and moved onto spending more time in their areas for development.,من به نقاط قوت مختلف آن‌ها توجه کرده بودم و به گذراندن زمان بیشتری در حیطه‌ی آن‌ها برای توسعه ادامه داده بودم.
"If I'd really thought about this person, I would have spent far greater time actually on their strengths, actually emphasizing why they were such a valuable member of our organization,",اگر واقعاً به این شخص فکر می‌کردم، زمان بسیار بیشتری را صرف نقاط قوت او می‌کردم، در واقع تأکید می‌کردم که چرا آن‌ها چنین عضو ارزشمندی از سازمان ما هستند
"and then, creating a space where they felt psychologically safe,",و سپس، فضایی ایجاد می‌کردم که از نظر روانی احساس امنیت کنند
to be able to go on and explore these areas for development.,تا بتوانند به ادامه و کشف این زمینه‌ها برای توسعه بپردازند.
Reflection has helped me to improve this,بازتاب به من کمک کرد تا این را بهبود بخشم
and to build better relationships.,و روابط بهتری ایجاد کنم.
"So this might all sound a little fine and dandy, and may be obvious or trivial, but the truth is, so many of us don't take time out for regular reflection.",ممکن است همه این‌ها کمی عالی به نظر برسد و ممکن است بدیهی یا بی‌اهمیت باشد اما حقیقت این است که بسیاری از ما برای تأمل منظم وقت نمی‌گذاریم.
This practice has helped me,این تمرین به من کمک کرد
and I am so grateful.,و بسیار سپاسگزارم.
"After I left being a priest, I took some time out for reflection to think about who I was and what I wanted my life to be about.",بعد از اینکه کشیش بودن را ترک کردم، کمی وقت گذاشتم تا به این فکر کنم که کی هستم و می‌خواهم زندگیم در مورد چه چیزی باشد.
"Reflection helped me to grapple with this, and it continues to help me today",بازتاب به من کمک کرد تا با این دست و پنجه نرم کنم و امروز همچنان به من کمک می‌کند
as I grapple with this and other topics.,درحالیکه با این موضوع و موضوعات دیگر دست و پنجه نرم می‌کنم.
"So as we end this day, or tomorrow, before you begin the next, sit down, take a breath, and reflect.",پس وقتی امروز یا فردا را به پایان می‌بریم، قبل از اینکه روز بعد را شروع کنید، بنشینید، نفس بکشید و به خودتان فکر کنید.
And you'll see the power that this habit brings to your life.,و قدرتی را خواهید دید که این عادت به زندگی شما می‌آورد.
Thank you.,متشکرم.
