"About a decade ago, I met someone who had experienced a few episodes of schizophrenia.",حدود یک دهه پیش، من با کسی ملاقات کردم که چند دوره اسکیزوفرنی را تجربه کرده بود.
It impairs the growth of the narrative.,رشد روایی را مختل می‌کند.
It's as if our stories begin stalling upon the onset of the disease.,گویی داستان‌های ما با شروع بیماری متوقف می‌شوند.
"Eventually, Alzheimer's eats away at all the long-term memories.",سرانجام آلزایمر تمام خاطرات طولانی‌مدت را از بین می‌برد.
"So if you were to meet someone with mid-stage Alzheimer's,",بنابراین اگر بخواهید با فردی ملاقات کنید که در مرحله میانی آلزایمر است،
they will likely be able to tell you stories about who they are.,احتمالاً می‌تواند برایتان داستان‌هایی در مورد اینکه چه کسی است، تعریف کند.
"But if you know their real stories, you'll be able to tell that they sometimes scramble up their narrative, that they sometimes mix up the sequence of episodes from their lives.",اما اگر داستان واقعی آن‌ها را بدانید، می‌توانید بگویید که آن‌ها گاهی اوقات روایت خود را نامرتب می‌گویند و گاهی اوقات دنباله‌ای از قسمت‌های زندگی خود را با هم مخلوط می‌کنند.
It's as if they are recalling their own stories in ways that are not quite accurate.,گویی آن‌ها داستان‌های خودشان را به روش‌هایی به یاد می‌آورند که کاملاً دقیق نیستند.
"It's important, at this stage, to realize that there is still a person experiencing that scrambled narrative.",مهم است، در این مرحله، درک کنیم که هنوز فردی وجود دارد که آن روایت درهم را تجربه می‌کند.
"Sadly, Alzheimer's goes on to destroy one's narrative, and so much more.",متأسفانه، آلزایمر روایت فرد را از بین می‌برد، به همراه خیلی چیزهای دیگر.
"And towards the end, it's unclear whether there is still someone experiencing something, because the person cannot communicate verbally anymore.",و در پایان، مشخص نیست که آیا هنوز شخص چیزی را تجربه می‌کند، چون دیگر نمی‌تواند ارتباط کلامی برقرار کند
"And yet, Alzheimer's tells us that these stories that we take ourselves to be, what philosophers call  the “narrative self,” these are spun by the brain and body.",با این حال، آلزایمر به ما می‌گوید که این داستان‌هایی که به خودمان نسبت می‌دهیم، آن‌هایی که فیلسوفان «هویت روایی» می‌نامند، توسط مغز و بدن می‌چرخند.
"And when the construction goes wrong, we perceive our own stories in ways that are not quite real.",و وقتی که ساختار خاطرات اشتباه می‌شود، ما داستان‌های خود را به گونه‌ای می‌بینیم که کاملا واقعی نیستند.
"From the narrative self, let's talk about our body.",از خود روایی، بیایید در مورد بدنمان صحبت کنیم.
Let's take a very basic aspect of our bodily self.,بیایید یک جنبه بسیار اساسی از خودِ فیزیکی‌مان را در نظر بگیریم.
"This feeling we all have, that we are owners of our body and body parts, that our bodies and body parts belong to us.",احساسی که همه ما داریم، اینکه مالک بدن و اعضای بدن خود هستیم، بدن و اعضای بدن ما متعلق به ماست.
It seems such a strange thing to think that it could even be otherwise.,خیلی عجیب به نظر می‌رسد که فکر کنیم حتی می‌تواند غیر از این باشد.
"If I were to ask you, ""Does your hand belong to you?""",اگر بخواهم از شما بپرسم «آیا دست شما متعلق به شماست؟»
"you're going to say, ""Of course it does. What a foolish question.""",شما می‌گویید، «البته که اینطور است. چه سوال احمقانه‌ای.»
But not everyone would agree.,اما همه موافق نیستند.
"Early on in my research, a neuropsychologist alerted me to a condition called xenomelia, or foreign limb syndrome.",در اوایل تحقیقاتم، یک عصب‌روان‌شناس به من درباره وضعیتی به نام زنوملیا یا سندرم اندام بیگانه هشدار داد.
"You may have heard of something called phantom limb syndrome, in which people who have had an amputation feel the presence of that limb, sometimes.",ممکن است چیزی به نامِ سندرم اندام خیالی را شنیده باشید که در آن افرادی که قطع عضو شده‌اند، گاهی وجود آن اندام را احساس می‌کنند.
"Xenomelia is somewhat of an opposite condition, where people feel like some part of their body -- usually the extremities, their hands or legs -- don't belong to them.",زنوملیا تا حدودی وضعیتی برعکس است که در آن افراد احساس می‌کنند بخشی از بدنشان - معمولاً اندام‌ها، دست‌ها یا پاهایشان - به آن‌ها تعلق ندارد.
So this neuropsychologist talked of phantom limb syndrome as animation without incarnation.,بنابراین این عصب‌روانشناس از سندرم اندام خیالی به عنوان یک جان‌بخشی بدون تجسم صحبت کرد.
"So the limb is gone, it's not incarnate anymore, but it's animated in your mind.",بنابراین اندامی وجود ندارد، دیگر مجسم نیست، اما در ذهن شما حضور دارد.
And he talked of xenomelia as incarnation without animation.,و او از زنوملیا به عنوان تجسم بدون جان‌بخشی صحبت کرد.
"So the limb is present, healthy even, incarnate, and yet, in your own mind, it feels like it doesn't belong to you.",اندام موجود است، حتی سالم و مجسم است و با این حال، در ذهن شما، این احساس وجود دارد که به شما تعلق ندارد.
"So in xenomelia, the brain and bodily processes that give rise to our sense of ownership of our body parts, they're misfiring, so to speak, and the consequences can be serious.",پس در زنوملیا، فرآیندهای مغز و بدن که باعث ایجاد احساس مالکیت ما بر اعضای بدن ما می‌شود، به طور ناقص انجام می‌شوند و عواقب آن می‌تواند جدی باشد.
"People with xenomelia will sometimes take extreme measures to get rid of, to amputate their foreign-seeming body parts.",افراد مبتلا به زنوملیا گاهی اوقات اقدامات شدیدی را برای قطع و بریدن اعضای بدن خود که به ظاهر بیگانه به نظر می‌رسند، انجام می‌دهند.
"From the perspective of the self, though, xenomelia is telling us something very profound.",با این حال، از منظر خود، زنوملیا چیز بسیار عمیقی را به ما می‌گوید.
It's telling us that something as basic as the sense of ownership of our own body parts is a construction.,این به ما می‌گوید که یک چیز ابتدایی مانند احساس مالکیت اعضای بدن خودمان یک ساختار در حافظه است.
"And sometimes, the construction goes wrong, and we perceive our own bodies in ways that are not quite real.",و گاهی اوقات، سازوکار خاطره اشتباه می‌شود و ما بدن خود را به روش‌هایی کاملا غیرواقعی درک می‌کنیم.
Let's take another aspect of our bodily self.,بیایید جنبه دیگری از خود فیزیکی‌مان را در نظر بگیریم.
It's called the sense of agency.,به آن حس عاملیت می‌گویند.
"So when I do something like pick up a cup, I have this implicit feeling that I am the agent of that action, that I have willed that action into existence.",وقتی کاری مانند برداشتن یک فنجان انجام می‌دهم، این احساس ضمنی را دارم که من عامل آن عمل هستم، که اراده کرده‌ام آن عمل وجود داشته باشد.
That feeling is the sense of agency.,این احساس همان حس عاملیت است.
"But someone with schizophrenia may not have that feeling, always.",اما فرد مبتلا به اسکیزوفرنی ممکن است همیشه این احساس را نداشته باشد.
Someone with schizophrenia might do something and not feel like they are the agent of that action.,فرد مبتلا به اسکیزوفرنی ممکن است کاری انجام دهد و احساس نکند که عامل آن عمل است.
So schizophrenia tells us that it is possible to be someone who does something but doesn't have an accompanying sense of agency.,بنابراین اسکیزوفرنی به ما می‌گوید که ممکن است فردی باشید که کاری انجام می‌دهد اما حس عاملیت را به همراهش ندارد.
"So just like the narrative self and the sense of ownership of body parts, the sense of agency is also a construction, and it, too, can fail.",بنابراین درست مانند هویت روایتی و احساس مالکیت اعضای بدن، حس عاملیت نیز یک ساختار حافظه است و ممکن است شکست بخورد.
So you can see where this is going.,می‌توانید ببینید که این امر به کجا ختم می‌شود.
Let me take one more example to drive home this point.,اجازه دهید یک مثال دیگر بزنم تا موضوع قابل‌فهم‌تر شود.
Let's talk of what it feels to be a body here and now.,بیایید در مورد احساس یک بدن که اکنون در اینجاست، صحبت کنیم.
"Not the feeling of being a story, but the feeling of being a body in the present moment.",نه احساس داستانی بودن، بلکه احساس جسم بودن در لحظه حال.
"Psychologists estimate that about five percent of the general population will, at some point in their lives, have an out-of-body experience.",روانشناسان تخمین می‌زنند که حدود پنج درصد از جمعیت عمومی، در مقطعی از زندگی خود، تجربه‌ای خارج از بدن خواهند داشت.
Let's assume that all of us right now are having an in-body experience.,بیایید فرض کنیم که همه ما در حال حاضر تجربه‌ای درون بدن داریم.
"But what that means is having this feeling of being in a body, being anchored to a body, occupying a certain volume of space and looking at the world from behind our eyes.",اما این به معنای داشتنِ احساس حضور در یک بدن، متصل بودن به بدن، اشغال حجم مشخصی از فضا و نگاه کردن به جهان از پشت چشمانمان است.
"But if you are having an out-of-body experience, you could possibly be feeling that you're up near the ceiling, looking down at your own body sitting in the chair below.",اما اگر تجربه‌ای خارج از بدن دارید، احتمالاً احساس می‌کنید که نزدیک سقف هستید و به بدن خود که در پایین روی صندلی نشسته نگاه می‌کنید.
"People do report such experiences, and mild versions of this have been replicated in labs.",مردم چنین تجربیاتی را گزارش می‌کنند و نسخه‌های خفیف آن در آزمایشگاه‌ها شبیه‌سازی شده است.
"But if you think, like I do, that out-of-body experiences are the outcome of brain processes that are misfiring, then it stands to reason that the experience of being in-body, of being embodied, is itself a construction, and that, too, can come apart.",اما اگر مثل من فکر می‌کنید که تجربیات خارج از بدن نتیجه فرآیندهای مغزی است که نادرست انجام می‌شوند، پس منطقی است که تجربه‌ی در بدن بودن، جسمیت داشتن، خود ساختار حافظه است و این نیز می‌تواند از هم بپاشد.
So what are these experiences of altered selves telling us?,پس تجربیات این چنینی به ما چه می‌گویند؟
"They're telling us that just about everything we take to be real about ourselves -- ""real"" in the sense that we think we are always experiencing undeniable truths about our bodies, our stories --",آن‌ها به ما می‌گویند که تقریباً همه چیزهایی که ما در مورد خودمان در حقیقت تصور می‌کنیم - «واقعی» به این معنا که فکر می‌کنیم همیشه حقایق غیرقابل انکاری را در مورد بدن خود، داستان‌هایمان تجربه می‌کنیم -
"well, that's just not the case.",خوب، اینطور نیست.
"So when theologians and philosophers tell us that the self is an illusion, this is partly what they mean.",بنابراین وقتی متکلمان و فیلسوفان به ما می‌گویند که «خود» یک توهم است، تا حدی منظور آن‌ها این است.
You may have realized by now that there still remains the question,شاید تا به حال متوجه شده باشید که هنوز این سوال وجود دارد
"of who or what is doing the experiencing, even in the case of altered selves.",که چه کسی یا چه چیزی در حال تجربه کردن است، حتی در مورد خودهای تغییریافته.
is at the heart of the debate about the self.,در مرکز بحث در مورد خود است.
This experiencing “I” doesn’t go away,این تجربه «من» از بین نمی‌رود
if one or a few aspects of the self are disrupted.,حتی اگر یک یا چند جنبه از خود مختل شود.
But what if all of the aspects of the self that comprise us were to be disrupted?,اما اگر قرار باشد تمام جنبه‌های خود که ما را تشکیل می‌دهد مختل شود، چه؟
"We don't have a satisfactory answer to that question, yet.",ما هنوز پاسخ قانع کننده‌ای برای این سوال نداریم.
